순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,총영상수,게시일,영상ID,썸네일파일
376,11:35,"서울대음대생의 절대음감은 어느정도일까?",5480698,191000,"뮤라벨 Music Life Balance",Good,Good,644,2019.06.08,o-uh24S1bLs,o-uh24S1bLs.jpg
377,3:55,"아기상어 X 자우즈 | 아기상어 EDM | 아기상어 리믹스 | Baby Shark Remix | 핑크퐁!",40207949,16400000,"핑크퐁 (인기 동요・동화)",Good,Good,4457,2019.06.01,B8MOiN856PQ,B8MOiN856PQ.jpg
378,24:34,"아주 쉬운 초등필수 영어회화 (기본편) - 120문장 ^^ / 초등영어회화 / 기초영어회화 / 초등영어듣기 / 초보영어회화 / 영어회화 필수문장 / 생활영어",410587,30300,"Language Academia [ 랭귀지 아카데미아 ]",Good,Good,40,2019.04.26,FQbPa-wth78,FQbPa-wth78.jpg
379,10:51,"용돈 쓰는 유형 14가지!! (용돈 받을 때 공감도ㅋㅋㅋ)",17328477,2040000,"웃소 Wootso",Good,Good,1854,2019.02.21,aZU_M7kT_OE,aZU_M7kT_OE.jpg
380,3:47,"ITZY ""달라달라(DALLA DALLA)"" M/V @ITZY",335885563,31900000,"JYP Entertainment",Good,Good,2783,2019.02.11,pNfTK39k55U,pNfTK39k55U.jpg
381,3:33,"[위너스 실용무용 입시반] YOUNGMIN 코레오그래피 - The Greatest Showman(위대한쇼맨), This Is Me",1838988,58500,"WINNERSDANCESCHOOL",Good,Good,3763,2018.12.17,qo1i3dfW3to,qo1i3dfW3to.jpg
382,30:15,"불면증 해소를 위한 수면 유도 이완 명상 | 30분 요가니드라 | 요가소년 123",2286308,508000,"요가소년",Good,Good,1002,2018.11.06,_csuNqx6iVQ,_csuNqx6iVQ.jpg
383,7:49,"[크큭티비] 개그콘서트 달인 : 433회 느끼한 음식의 달인 '얼큰' 김병만 선생",3474044,966000,"KBS COMEDY: 크큭티비",Good,Good,11429,2018.10.23,Z2s5kHMzwZU,Z2s5kHMzwZU.jpg
384,1:18,"롯데월드 테마송",685871,536,"눈온다",Good,Good,8,2018.09.30,icBWqZgWDis,icBWqZgWDis.jpg
385,1:55,"NUMBERS SONG ❘ 숫자송",1749168,49100,"Learn Korean With Wonnie",Good,Good,334,2018.09.13,PcvrWguDEPw,PcvrWguDEPw.jpg
386,3:35,"[MV] PENTAGON(펜타곤) _ Naughty boy(청개구리)",32429643,25100000,"1theK (원더케이)",Good,Good,22698,2018.09.10,Y90uGW5z2MM,Y90uGW5z2MM.jpg
387,14:19,"5화 에디 구조 작전 | 뽀로로 4기",5341202,1010000,"뽀롱뽀롱 뽀로로 l 이야기・동화",Good,Good,1698,2018.09.07,0ixaEal6Q3o,0ixaEal6Q3o.jpg
388,3:44,"[MV] SUNMI(선미) _ Siren(사이렌)",69762228,25100000,"1theK (원더케이)",Good,Good,22698,2018.09.04,TNWMZIf7eSg,TNWMZIf7eSg.jpg
389,3:20,"How's this (어때?)",6823241,37000,"HyunA - Topic",Good,Good,91,2018.08.21,KNM4NTs_-LM,KNM4NTs_-LM.jpg
390,15:24,"마이린 간니 커플을 애타게 찾습니다 ㅠㅠ (마이린과 간니가 함께 사라졌어요) 키자니아에 놀러갔다 생긴 일 | 마이린 TV",6302098,1140000,"마이린 TV",Good,Good,2976,2018.07.19,LDZ4psbgbTg,LDZ4psbgbTg.jpg
391,10:14,"[매운도전] 드디어 재인 신길동매운짬뽕 도전! FEAT.브아이,에리나 Jaein Challenges the spiciest Soup in Korea FT. Erina & Vai",3859288,1710000,"데이브 World of Dave",Good,Good,849,2018.07.05,U0Q28rORyOo,U0Q28rORyOo.jpg
392,4:55,"서종예 | 위대한 쇼맨 The Greatest Show + Rewrite The Stars | Filmed by lEtudel [커버가 금지되어 있는 안무입니다]",2920874,631000,"lEtudel",Good,Good,2276,2018.06.02,Pl5LS6HMQGI,Pl5LS6HMQGI.jpg
393,4:31,"[MV] AOA _ Bingle Bangle(빙글뱅글)",29733538,25100000,"1theK (원더케이)",Good,Good,22704,2018.05.28,ntWSnDV0MYs,ntWSnDV0MYs.jpg
394,59:45,"뽀로로 NEW1 | 6화 꾀병 부리지 말아요 | 에디가 부린 꾀병은 ?! | 뽀로로 1기 고화질",10309933,7380000,"뽀로로(Pororo)",Good,Good,5602,2018.05.11,mJfrwP4wufM,mJfrwP4wufM.jpg
395,3:52,"Wiz Khalifa (feat. Charlie Puth) - See You Again (한국어 가사/해석/자막)",7741466,317000,"orange jellybean",Good,Good,136,2018.03.24,ZOWS74pRhrk,ZOWS74pRhrk.jpg
396,3:13,"[소피루비 노래] Only One 뮤직비디오 1.25배속!",15948834,297000,"소피루비 · 티티체리 [SofyRuby · TeaTeaCherry]",Good,Good,1262,2018.01.19,dC3Nl-xmESs,dC3Nl-xmESs.jpg
397,3:15,"Heroine (주인공)",24388515,14900,"SUNMI - Topic",Good,Good,62,2018.01.18,o_oU6DR63Bg,o_oU6DR63Bg.jpg
398,47:11,"악동뮤지션.zip - 가수의 꿈을 이룬 k팝스타 2 《모았캐치 / 스브스캐치》",5764564,3490000,"SBS Catch",Good,Good,9107,2018.01.13,DZomoaBt6cE,DZomoaBt6cE.jpg
399,23:06,"바다 탐험대 옥토넛 - 아마존 대탐험 (시즌2 에피소드15 - 전체에피소드)",10452841,415000,"바다 탐험대 옥토넛",Good,Good,1538,2017.10.08,w1b-hO-wbiw,w1b-hO-wbiw.jpg
400,3:45,"볼빨간사춘기 (頬赤い思春期)－「나의 사춘기에게 TO MY YOUTH」LYRICS 가사 한국어",19358625,197000,"쎈언니",Good,Good,703,2017.09.30,RaMAoj1UfyE,RaMAoj1UfyE.jpg
401,3:34,"Zedd & Alessia Cara - Stay (한국어 자막/해석/번역)",13369209,317000,"orange jellybean",Good,Good,136,2017.08.19,o6-PjBILWmQ,o6-PjBILWmQ.jpg
402,2:48,"찰리 XCX (Charli XCX) - Boys 가사 번역 뮤직비디오",2667513,1920000,"워너뮤직코리아 (Warner Music Korea)",Good,Good,6355,2017.08.04,ibhfcZE7sOQ,ibhfcZE7sOQ.jpg
403,2:07,"Korean alphabet consonant song 002 한글을 배워봐요 #한글 #배워 #002 #가송",2037543,56700,"김상진",Good,Good,23,2017.07.28,EszBZScq5xY,EszBZScq5xY.jpg
404,3:52,"Maroon 5 sugar 가사/영어/한국 번역",6178844,2050,"Mark Kim 김",Good,Good,3,2017.07.06,6i1tUQIcGEo,6i1tUQIcGEo.jpg
405,4:14,"[서공예 실무과 8기×서울방송고] 프로모션 영상 SOPA Seoul - Best Dance Performances",8504916,31600,"배수민",Good,Good,9,2017.04.14,5mYS0HzDKao,5mYS0HzDKao.jpg
406,27:33,"★아기상어 스페셜★ | 모든 버전의 아기상어 총집합! | 국악놀이 상어가족, 할로윈 상어가족, 그리고 재밌는 상어가족 게임까지! | 동물 동요 | 핑크퐁! 인기동요",117896710,16400000,"핑크퐁 (인기 동요・동화)",Good,Good,4457,2017.04.01,cq_JzIjis40,cq_JzIjis40.jpg
407,2:33,"Korean alphabet vowels song 001 한글을 배워봐요 #한글 #배워 #봐요 #모음송 #001",2444929,56700,"김상진",Good,Good,23,2016.12.14,xEyYnIkKjwU,xEyYnIkKjwU.jpg
408,3:29,"Hit The Stage K타이거즈, 태권도 퍼포먼스의 끝판왕! 160831 EP.6",16398764,9560000,"Mnet TV",Good,Good,28641,2016.08.31,eeNvjmUNoMg,eeNvjmUNoMg.jpg
409,2:09,"Monkey Banana | 몽키 바나나송 | 원숭이 가족 | 동물 동요 | Baby Shark | 핑크퐁! 인기동요",59560214,16400000,"핑크퐁 (인기 동요・동화)",Good,Good,4457,2016.08.26,2OoCyP952vU,2OoCyP952vU.jpg
410,4:02,"BLACKPINK – BOOMBAYAH (붐바야) (Color Coded Han|Rom|Eng Lyrics) | by Yankat",39401522,765000,"yankat",Good,Good,225,2016.08.09,PjRxsQ3mQkM,PjRxsQ3mQkM.jpg
411,3:37,"BTS (방탄소년단) 'Save ME' Official MV",814904399,81300000,"HYBE LABELS",Good,Good,3281,2016.05.15,GZjt_sA2eso,GZjt_sA2eso.jpg
412,26:26,"꾸러기 천사들 - 제29화 자매 싸움은 칼로 물베기!",11085390,4900000,"EBS 키즈",Good,Good,25981,2016.04.25,6EaFt__Ap_E,6EaFt__Ap_E.jpg
413,9:01,"이선희 - 인연 + 그 중에 그대를 만나",55518945,91000,"바다사랑",Good,Good,140,2016.03.12,xkKo2nD8RTE,xkKo2nD8RTE.jpg
414,30:01,"꾸러기 천사들 - 제22화 안녕 무돌",13519708,4900000,"EBS 키즈",Good,Good,25981,2016.01.29,eZtRusLerrk,eZtRusLerrk.jpg
415,4:32,"TWICE ""Like OOH-AHH(OOH-AHH하게)"" M/V",533623911,31900000,"JYP Entertainment",Good,Good,2783,2015.10.20,0rtV5esQT6I,0rtV5esQT6I.jpg
416,17:07,"뒷목 통증과 팔 저림 증세가 있을 때 따라해보세요 : 닥터U의 ' 목디스크 완치훈련 '",1928774,541000,"닥터U와 함께",Good,Good,915,2015.09.04,Zc4wxqciJlU,Zc4wxqciJlU.jpg
417,3:23,"와...바라보기 잘부른일반인 처음봄",6715700,4110,"STAR BORN",Good,Good,129,2015.07.10,zoGQb6oHwCY,zoGQb6oHwCY.jpg
418,27:17,"꾸러기 천사들 - 제11화 꾸러기들의 1박2일",14635664,4900000,"EBS 키즈",Good,Good,25981,2015.06.01,hhYBGNhNhH0,hhYBGNhNhH0.jpg
419,28:00,"꾸러기 천사들 - 제9화 우리는 모두 친구야!",6173339,4900000,"EBS 키즈",Good,Good,25981,2015.06.01,hXDJt1IRSP4,hXDJt1IRSP4.jpg
420,27:07,"꾸러기 천사들 - 제8화 상을 받고 싶어요",10691883,4900000,"EBS 키즈",Good,Good,25981,2015.06.01,yUNcsd7_Maw,yUNcsd7_Maw.jpg
421,27:34,"꾸러기 천사들 - 제7화 채린아 놀자!",19196013,4900000,"EBS 키즈",Good,Good,25981,2015.06.01,yoOLXKcnmm4,yoOLXKcnmm4.jpg
422,15:00,"엉뚱발랄 콩순이와 친구들 1기 4화 공주가 되고 싶어요! 편 (English Subtitle)",38432222,5920000,"콩순이 Kongsuni",Good,Good,1985,2015.03.07,xgrgZ30OgKI,xgrgZ30OgKI.jpg
423,6:50,"아기돼지 삼형제 | 🐷 동화뮤지컬 | 주니토니 by 키즈캐슬",14138435,2880000,"주니토니 - 인기 동요・동화",Good,Good,2009,2015.02.24,1Ns6TTTrIXk,1Ns6TTTrIXk.jpg
424,25:53,"잠이 안 올 때, 잠을 못 잘 때, 스스로 수면제를 줄일 수 있는 방법 : 닥터U의 ' 불면증 완치훈련 '",1405024,541000,"닥터U와 함께",Good,Good,915,2014.08.14,ejPCLbMseCc,ejPCLbMseCc.jpg
425,13:16,"주중반 매경테스트 시험대비 미시경제네번째 강의",116860,7360,"중앙대 경영경제강의",Good,Good,252,2014.05.15,KnNgWv8yjUw,KnNgWv8yjUw.jpg
426,20:28,"주중반 매경테스트 시험대비 미시경제 세번째 강의",131056,7360,"중앙대 경영경제강의",Good,Good,252,2014.05.15,0t6OFfiiiDg,0t6OFfiiiDg.jpg
427,3:29,"4MINUTE - 오늘 뭐해 (Whatcha Doin' Today) (Choreography Practice Video)",16426363,2200000,"United CUBE (CUBE Entertainment Official YouTube Channel)",Good,Good,1678,2014.03.25,0K1fWppGvgk,0K1fWppGvgk.jpg
428,28:36,"꾸러기 천사들 - 제3화 넌 할수 있어!",20256223,4900000,"EBS 키즈",Good,Good,25981,2014.03.13,_T7LE_xwmkY,_T7LE_xwmkY.jpg
429,5:02,"[뽀로로 3기] #17 그래도 고마워, 친구야",8037658,7380000,"뽀로로(Pororo)",Good,Good,5602,2013.04.29,U5B2ThQqwRU,U5B2ThQqwRU.jpg
430,6:01,"TV로 보는 원작동화 - TV Tale_거울공주2부_#002",7966728,4900000,"EBS 키즈",Good,Good,25981,2013.03.05,T3Sc4RJI1Ek,T3Sc4RJI1Ek.jpg
431,21:05,"★韩语学习 Learn Korean★ 韩国语发音 第四课 子 音（2） ㅂ ㅅ ㅈ ㅇ ㅎ 자음을 배워보세요!",727179,193000,"Study Abroad in Korea",Good,Good,2346,2012.10.29,pSe38CgQYa0,pSe38CgQYa0.jpg
432,2:54,"[뽀로로와 노래해요 2기] 5화 아름다운 세상(A Lovely World)",10403705,7380000,"뽀로로(Pororo)",Good,Good,5602,2011.06.13,iZDoy3AC9E8,iZDoy3AC9E8.jpg
