순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,총영상수,게시일,영상ID,썸네일파일
94,4:05,"드라이버 200m 못 넘기는 분들 무조건 보세요 (데이터가 증명한 볼스피드 수직 상승의 비밀)",133118,851,"백돌이 연구소",Great,Great,23,2026.04.23,eGeQxicP3Tc,eGeQxicP3Tc.jpg
95,9:26,"[충격] 30일 뒤에도 바나나가 노랗다고? 농부의 ‘특급 비밀’ 최초 공개!",92992,1950,"실버 라이프",Great,Great,34,2026.04.22,W3JynfrqF68,W3JynfrqF68.jpg
96,56:07,"편안한 힐링 클래식 음악 모음☕| 매일 듣는 감성 클래식 명곡🎵 | Classical music #클래식 #클래식음악 #힐링음악",102356,18300,"클래식라이프Classic",Good,Good,279,2026.04.22,LiBrRUO6PfI,LiBrRUO6PfI.jpg
97,14:28,"알리 실링팬 52인치 vs 국산 42인치, 가격 7배 차이 실화? (설치해봤습니다)",228070,20200,"꿈꾸는삼촌 Dreaming Uncle",Great,Good,328,2026.04.21,E5k4pd9Xe9s,E5k4pd9Xe9s.jpg
98,11:31,"이름 없던 감정 11가지, 전부 설명해드림",1102038,41100,"알아봤음",Great,Good,37,2026.04.20,B1HD1nU-Cps,B1HD1nU-Cps.jpg
99,15:26,"[직장인도시락모음] 출근 전 20분⏰건강도🏃‍♀️맛도 🍕 챙긴 직장인 도시락 🍱(가끔은 30분 걸릴 때도 있다는 사~실)",51551,20300,"요소이 YOSOI",Great,Good,98,2026.04.20,KEDLZuyZaB4,KEDLZuyZaB4.jpg
100,5:19,"딱! 3일만 해보세요. 극심한 에너지고갈, 기력저하가 사라집니다. 병원가지말고 집에서 바로 해결가능!",75759,4490,"자율신경실조증 안심한의사",Great,Great,77,2026.04.20,RtYSBGYHkgA,RtYSBGYHkgA.jpg
101,23:05,"메이플에서 나랑 가장 딱 맞는 직업을 찾아보자",120714,7150,"전갈궁",Great,Great,70,2026.04.20,dIDupItNdVk,dIDupItNdVk.jpg
102,22:04,"[실화Pick] 취소하면 음식이 공짜? 그렇게 '배달거지'가 된다 #실화탐사대 #실화On MBC260416방송",2763020,915000,"실화 On",Great,Good,3176,2026.04.20,vMWexfEQTNU,vMWexfEQTNU.jpg
103,30:13,"혼자 AI로 만든 SaaS, 월 2,000만 원 찍었습니다",125023,8020,"하조은",Great,Great,26,2026.04.20,Sed9O2Mn3uE,Sed9O2Mn3uE.jpg
104,18:03,"그래서 집에 어떻게 왔는데?",826787,378000,"그냥 필름",Good,Good,187,2026.04.18,hGbgZbZlOr8,hGbgZbZlOr8.jpg
105,15:27,"""울쎄라 써마지 무조건 다시 처져요"" 집에서 3가지만 미친듯이 하세요! 노화 막는 홈케어 비법을 15년차 피부과 전문의가 알려드립니다.",1124497,253000,"박경열의 피부상담소",Great,Good,96,2026.04.17,RkXrWQpaevU,RkXrWQpaevU.jpg
106,10:55,"쓰레기 줍다가 어린이에게 면접보러 온 루시 최상엽ㅣ미래면접관 EP.01",184728,58300,"UNICEF KOREA",Good,Good,965,2026.04.17,mGC6XQGC-lM,mGC6XQGC-lM.jpg
107,10:17,"이런 행동 계속 한다면 우울증 신호 입니다 우울증 5가지 신호 | 정신과전문의 이희창",338969,95600,"이웃집닥터",Great,Good,1140,2026.04.17,t9LfzKj8nX0,t9LfzKj8nX0.jpg
108,12:15,"방법을 바꾸고 전부 합격했습니다. 이거만 바꿔도 탈락 안돼요 (면접 준비 방법 6단계)",50010,6340,"취업전략:통념을 파괴하는 합격자의 관점",Great,Great,26,2026.04.16,DPfQFF6wEq8,DPfQFF6wEq8.jpg
109,8:33,"당뇨약 없이 공복혈당 낮추는 3가지 방법 “하루 15분! 집에서 따라해보세요”",128897,10900,"한수 배우는 당뇨",Great,Good,149,2026.04.16,6Ndqhb06FGc,6Ndqhb06FGc.jpg
110,15:35,"나홀로 로제엽떡,말차아박과 생일파티🎂",359228,105000,"먹지룽",Great,Good,163,2026.04.14,A11AAGU_oZI,A11AAGU_oZI.jpg
111,19:35,"주식투자로 반드시 부자 되는 5가지 비밀, 바로 공개합니다",74964,10400,"유니크 경제학",Great,Good,40,2026.04.14,s-rJTo2aX9s,s-rJTo2aX9s.jpg
112,31:18,"70대 이후 이 운동하면 응급실 직행합니다 생명구하는 법 | 70세 이상 절대금지 운동 6가지",71000,4300,"국민건강학교",Great,Great,59,2026.04.14,axSgmkHgV8o,axSgmkHgV8o.jpg
113,11:44,"뇌과학 공부법 | 이렇게 3번 하면 절대 안 까먹습니다 (진짜 이유 밝혀드립니다)",276632,15900,"질문하는심리학",Great,Good,38,2026.04.13,D2ftUPJLuCg,D2ftUPJLuCg.jpg
114,17:41,"간헐적단식 효과 알고나니 어이없네요(약사가 직접 실험한 케톤,혈당, 내장지방 실험 공개)",303086,8900,"혈당연구약사•먹으면서 혈당잡기",Great,Great,39,2026.04.13,knRnpfmsY0I,knRnpfmsY0I.jpg
115,21:10,"70대 이후 이 운동하면 응급실 직행합니다 생명구하는 법 | 70세 이상 절대금지 운동 6가지 l 본론만박사",134844,2770,"본론만박사",Great,Great,65,2026.04.12,W8zRVJUdJXk,W8zRVJUdJXk.jpg
116,19:15,"ETF 5개 동시 상장 전에 이것부터 보세요 (4월 14일 신규 상장 완전분석)",167967,45700,"경제해적단",Great,Good,135,2026.04.11,yApLnhjnOYg,yApLnhjnOYg.jpg
117,42:04,"죽을 때까지 즐거운 취미는 이것입니다. 은퇴 후 인생이 완전히 달라집니다.",68478,15400,"당신의 인생백년",Great,Good,380,2026.04.11,prtxy4VVdrU,prtxy4VVdrU.jpg
118,57:09,"""매일 이것만 챙겨먹는다"" 서울대 의사가 직접 고른 '진짜 영양제' (이승훈 교수X이광렬 화학자 2부)",1252968,715000,"건강구조대",Great,Good,572,2026.04.10,XE9cRKT1WnM,XE9cRKT1WnM.jpg
119,15:24,"양팔접영만 하면 가라앉나요? 이곳을 쓸 줄 몰라서 그렇습니다! 어깨 안아프게 접영하는 비법! 양팔접영 지상편",67862,13500,"물께",Great,Good,56,2026.04.10,6J3vroAKheY,6J3vroAKheY.jpg
120,16:20,"1억을 20억으로 만드는 4가지 전략 | 99%가 모르는 부자의 비밀",274902,45700,"경제해적단",Great,Good,135,2026.04.10,OzboXb0oVKY,OzboXb0oVKY.jpg
121,19:46,"🚊 지하철 타고 바다 위를 걷는 섬 트레킹, 외국보다 멋진 환상의 해안 산책로 | 대중교통 당일치기 섬 여행 | Walking Island Trip in Korea",223927,4510,"자연애공감",Great,Great,19,2026.04.10,wLdyjxFBNjA,wLdyjxFBNjA.jpg
122,7:36,"마운자로 큰일날 수 있다? 10년뒤 호르몬 불균형 생길까? 2펜 이상 썼다면 꼭 보세요",63485,277,"웰니스클럽",Great,Great,8,2026.04.10,HbFc56sL5wI,HbFc56sL5wI.jpg
123,20:31,"꿀에 '이것' 섞어 발랐더니 기미 잡티 검버섯 싹 사라졌어요｜사양벌꿀 200% 본전 뽑는 법 _ 시니어피부관리 _ 노후지혜",51199,3940,"한지훈 박사",Great,Great,71,2026.04.09,8j2AfQZFrbQ,8j2AfQZFrbQ.jpg
124,22:51,"집을 항상 깨끗하게 유지하는 사람들의 진짜 비밀 (부지런함이 아닙니다)",317091,19000,"속는셈치고 심리수업",Great,Good,59,2026.04.07,CIdTYxR7ChM,CIdTYxR7ChM.jpg
125,4:07,"계란찜에 전분 1스푼 넣었더니 푸딩처럼 매끄럽네요 | 기포 없이 만드는 비결",124958,4930,"고모키친",Great,Great,250,2026.04.07,Y3Ir0ViMbxA,Y3Ir0ViMbxA.jpg
126,30:15,"다이소 직원도 추천하는 역대급 꿀템 38가지ㅣ없어서 못사는 다이소 품절템ㅣ다이소에서 보이면 꼭 사세요ㅣ다이소추천템ㅣ다이소신상",119659,6070,"살림헤라",Great,Great,136,2026.04.07,T_YcK1zFVBs,T_YcK1zFVBs.jpg
127,20:54,"고독사 없는 나라의 비밀 | 독일 노인이 혼자 살면서도 행복한 이유",274982,8070,"누룽지마당",Great,Great,48,2026.04.07,liGJShOAjAg,liGJShOAjAg.jpg
128,9:48,"가장 소중한 사람에게 쉽게 화내는 사람들의 심리 ㅣ 심리학 ㅣ뇌과학 ㅣ감정쓰레기통 ㅣ분노조절 ㅣ감정조절 ㅣ인간관계 ㅣ가치관 ㅣ마인드셋 ㅣ오늘은 심리학",223899,17700,"오늘은 심리학",Great,Good,60,2026.04.06,O6dB6ngnI24,O6dB6ngnI24.jpg
129,3:22,"양배추가 집에 있다면 이렇게 꼭 드셔 보세요👍! 간단한데 정말 맛있는 양배추 레시피😃! 양배추 요리",149978,83700,"쿤키친 - Kun Kitchen",Great,Good,766,2026.04.06,297WEOVhgTo,297WEOVhgTo.jpg
