type,start,end,dur_s,reason
KEEP,00:10:38.972,00:10:43.899,4.93,
CUT,00:10:43.899,00:10:44.229,0.33,silence
KEEP,00:10:44.229,00:10:45.137,0.91,
CUT,00:10:45.137,00:10:45.947,0.81,silence
KEEP,00:10:45.947,00:10:50.258,4.31,
CUT,00:10:50.258,00:10:50.672,0.41,silence
KEEP,00:10:50.672,00:10:55.679,5.01,
CUT,00:10:55.679,00:10:56.178,0.50,silence
KEEP,00:10:56.178,00:11:00.382,4.20,
CUT,00:11:00.382,00:11:00.897,0.52,silence
KEEP,00:11:00.897,00:11:05.832,4.93,
CUT,00:11:05.832,00:11:06.775,0.94,silence
KEEP,00:11:06.775,00:11:18.178,11.40,
CUT,00:11:18.178,00:11:18.911,0.73,silence
KEEP,00:11:18.911,00:11:21.303,2.39,
CUT,00:11:21.303,00:11:21.888,0.58,silence
KEEP,00:11:21.888,00:11:23.832,1.94,
CUT,00:11:23.832,00:11:24.151,0.32,silence
KEEP,00:11:24.151,00:11:27.427,3.28,
CUT,00:11:27.427,00:11:27.764,0.34,silence
KEEP,00:11:27.764,00:11:30.698,2.93,
CUT,00:11:30.698,00:11:31.280,0.58,silence
KEEP,00:11:31.280,00:11:34.913,3.63,
CUT,00:11:34.913,00:11:35.251,0.34,silence
KEEP,00:11:35.251,00:11:38.738,3.49,
CUT,00:11:38.738,00:11:39.557,0.82,silence
KEEP,00:11:39.557,00:11:41.840,2.28,
CUT,00:11:41.840,00:11:42.340,0.50,silence
KEEP,00:11:42.340,00:11:44.277,1.94,
CUT,00:11:44.277,00:11:44.610,0.33,silence
KEEP,00:11:44.610,00:11:47.164,2.55,
CUT,00:11:47.164,00:11:47.520,0.36,silence
KEEP,00:11:47.520,00:11:51.994,4.47,
CUT,00:11:51.994,00:11:52.610,0.62,silence
KEEP,00:11:52.610,00:11:55.144,2.53,
CUT,00:11:55.144,00:11:55.906,0.76,silence
KEEP,00:11:55.906,00:12:00.754,4.85,
CUT,00:12:00.754,00:12:02.721,1.97,silence
KEEP,00:12:02.721,00:12:07.525,4.80,
CUT,00:12:07.525,00:12:07.960,0.43,silence
KEEP,00:12:07.960,00:12:09.658,1.70,
CUT,00:12:09.658,00:12:09.961,0.30,silence
KEEP,00:12:09.961,00:12:13.021,3.06,
CUT,00:12:13.021,00:12:13.436,0.41,silence
KEEP,00:12:13.436,00:12:16.693,3.26,
CUT,00:12:16.693,00:12:17.157,0.46,silence
KEEP,00:12:17.157,00:12:20.144,2.99,
CUT,00:12:20.144,00:12:20.548,0.40,silence
KEEP,00:12:20.548,00:12:22.856,2.31,
CUT,00:12:22.856,00:12:23.312,0.46,silence
KEEP,00:12:23.312,00:12:26.957,3.65,
CUT,00:12:26.957,00:12:27.294,0.34,silence
KEEP,00:12:27.294,00:12:29.216,1.92,
CUT,00:12:29.216,00:12:29.905,0.69,silence
KEEP,00:12:29.905,00:12:34.106,4.20,
CUT,00:12:34.106,00:12:34.475,0.37,silence
KEEP,00:12:34.475,00:12:43.511,9.04,
CUT,00:12:43.511,00:12:43.878,0.37,silence
KEEP,00:12:43.878,00:12:49.098,5.22,
CUT,00:12:49.098,00:12:49.548,0.45,silence
KEEP,00:12:49.548,00:12:54.343,4.79,
CUT,00:12:54.343,00:12:54.790,0.45,silence
KEEP,00:12:54.790,00:12:57.428,2.64,
CUT,00:12:57.428,00:12:58.108,0.68,silence
KEEP,00:12:58.108,00:13:01.970,3.86,
CUT,00:13:01.970,00:13:02.607,0.64,silence
KEEP,00:13:02.607,00:13:04.118,1.51,
CUT,00:13:04.118,00:13:04.425,0.31,silence
KEEP,00:13:04.425,00:13:06.052,1.63,
CUT,00:13:06.052,00:13:06.735,0.68,silence
KEEP,00:13:06.735,00:13:10.364,3.63,
CUT,00:13:10.364,00:13:10.798,0.43,silence
KEEP,00:13:10.798,00:13:13.359,2.56,
CUT,00:13:13.359,00:13:13.846,0.49,silence
KEEP,00:13:13.846,00:13:18.471,4.62,
CUT,00:13:18.471,00:13:18.824,0.35,silence
KEEP,00:13:18.824,00:13:26.059,7.24,
CUT,00:13:26.059,00:13:27.448,1.39,silence
KEEP,00:13:27.448,00:13:28.811,1.36,
CUT,00:13:28.811,00:13:29.433,0.62,silence
KEEP,00:13:29.433,00:13:34.023,4.59,
CUT,00:13:34.023,00:13:34.537,0.51,silence
KEEP,00:13:34.537,00:13:38.575,4.04,
